source_id,target_id,relationType,method
https://doi.org/10.1016/j.jhydrol.2017.11.002,urn:uuid:95846301-bc1c-4a45-8e7a-57a75efc05d1,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.chemgeo.2016.11.029,urn:uuid:95846301-bc1c-4a45-8e7a-57a75efc05d2,isReferencedBy,abstract_search_1
https://doi.org/10.1175/JCLI-D-13-00178.1,doi:10.18739/A2GG6M,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2003GB002190,doi:10.5065/D65T3HM5,isReferencedBy,abstract_search_1
10.1002/lno.11299,10.18739/A20863604,References,portal_search
10.5194/bg-2019-437,10.18739/A21Z41S5S,Cites,portal_search
10.1002/lno.11298,10.18739/A2416T05C,References,portal_search
10.1038/s41558-019-0688-1,10.18739/A24X0Q,Cites,portal_search
10.1002/lno.11015,10.18739/A25M62692,References,portal_search
10.1002/lno.11297,10.18739/A27S7HS9S,References,portal_search
10.1038/s41558-019-0688-1,10.18739/A28Q18,Cites,portal_search
10.1038/s41558-019-0592-8,10.18739/A2930NV02,References,portal_search
10.1002/hyp.13611,10.18739/A29P2W61J,References,portal_search
10.1029/2019WR025621,10.18739/A2CF9J675,References,portal_search
10.5194/bg-16-4051-2019,10.18739/A2DF6K36X,Cites,portal_search
10.1016/j.scitotenv.2019.01.058,10.18739/A2DF6K36X,References,portal_search
10.1016/j.orggeochem.2018.08.008,10.18739/A2DZ03215,References,portal_search
10.1002/hyp.13611,10.18739/A2K649S9D,References,portal_search
10.1007/s00442-018-4196-1,10.18739/A2P843W5Z,References,portal_search
10.1007/s00442-018-4196-1,10.18739/A2T14TQ0T,References,portal_search
10.1038/s41558-019-0592-8,10.18739/A2V11VK6H,References,portal_search
10.1002/lol2.10083,10.18739/A2X54S,References,portal_search
10.1007/s00442-018-4196-1,10.18739/A2XS5JH54,References,portal_search
10.1029/2018wr024636,10.18739/A2Z60C249,References,portal_search
10.1038/s41558-019-0688-1,10.5065/D6542KRH,Cites,portal_search
10.1002/ecs2.2735,10.6073/pasta/2302b3a5eab56970aa4e4f71d36b7fce,References,portal_search
10.1002/lno.11296,urn:uuid:799b7a86-cb1c-497c-a05a-d73492915cad,References,portal_search
10.1002/lno.11296,urn:uuid:c5d13183-0e4f-4008-9492-b53b2cd40a26,References,portal_search
10.1002/lno.11296,urn:uuid:dab72bc5-7f7a-4aa3-98e4-0eeb17ccca94.,References,portal_search
10.1002/essoar.10502530.1,10.18739/A26M3340D,isReferencedBy,found_citations
10.1002/essoar.10502530.1,10.18739/A2BC3SX4R,isReferencedBy,found_citations
10.1002/essoar.10502530.2,10.18739/A2RS9B,Cites,found_citations
10.1002/essoar.10502530.2,10.18739/A2N37R,Cites,found_citations
10.1186/s40665-016-0017-0,10.18739/A2WM13T76,References,found_citations
10.1007/s13280-019-01295-7,10.18739/A2M32N95V.,Cites,found_citations
10.1088/1748-9326/ab897f,10.18739/A24T6F404,Cites,found_citations
10.1088/1748-9326/ab897f,10.18739/A2125Q975,Cites,found_citations
10.1088/1748-9326/ab897f,10.18739/A2W950P25,Cites,found_citations
10.5194/essd-8-199-2016,10.5065/D61J97TT,References,found_citations
10.1029/2018GL079873,10.18739/A27C51,References,found_citations
10.1093/condor/duaa026,10.18739/A28P5V92S,References,found_citations
10.5194/cp-2019-164,10.18739/A2599Z26M,isReferencedBy,found_citations
10.1111/gcb.15193,10.18739/A26H4CQ8J,References,found_citations
10.1016/j.quascirev.2020.106438,10.18739/A2DZ03215,References,found_citations
10.1111/bor.12038,10.18739/A24F1MK0B,isReferencedBy,found_citations
10.1002/essoar.10503727.1,urn:uuid:b6ae4b36-1324-4548-816e-c9ee94ff0ca3,isReferencedBy,found_citations
10.1029/2020GL088854,10.18739/A2CC0TT8X,References,found_citations
10.1002/lno.11564,10.18739/A2J09W47G.,isReferencedBy,found_citations
10.1029/2020GL089469,10.18739/A2H12V81B,References,found_citations
10.1038/s41597-020-00578-z,10.18739/A26M3340D,References,found_citations
10.1007/s10021-020-00541-4,urn:uuid:3c55fe83-77a8-4631-8f03-62f49eced59d,References,found_citations
10.1017/jog.2019.43,urn:uuid:5acb2af9-115c-43b3-a0fd-226aa3531993,isReferencedBy,found_citations
10.1029/2020JC016427,urn:uuid:5acb2af9-115c-43b3-a0fd-226aa3531993,isReferencedBy,found_citations
10.1002/2014JD021977,urn:uuid:7571527a-62c3-472d-8698-3cad98b3ea5e,isReferencedBy,found_citations
10.1029/2020JD032932,10.18739/A2J09W45H,References,found_citations
10.1029/2020JD032932,urn:uuid:867af2d5-a9a9-4a7c-b171-1e3935869ef2,isReferencedBy,found_citations
10.1029/2020JD032932,10.18739/A2ST7DX28,isReferencedBy,found_citations
10.1002/lno.11626,10.18739/A20P0WR15,isReferencedBy,found_citations
10.1111/gcb.15507,urn:uuid:b896a07d-8789-4662-bc01-84cb784f7943,Cites,found_citations
10.1139/cjfr-2020-0483,10.18739/A2736M18D,Cites,found_citations
doi:10.1371/journal.pone.0231178,doi:10.18739/A2HH6C58X,Cites,portal_search
doi:10.1371/journal.pone.0231178,doi:10.18739/A2BR8MG32,Cites,portal_search
doi:10.1371/journal.pone.0231178,doi:10.18739/A2WH2DF2X,Cites,portal_search
doi:10.1371/journal.pone.0231178,doi:10.18739/A2XD0QX8B,Cites,portal_search
doi:10.1371/journal.pone.0231178,doi:10.18739/A2804XK1F,Cites,portal_search
doi:10.1016/j.dsr2.2019.04.005,doi:10.5065/D6416V3G,Cites,portal_search
doi:10.1016/j.dsr2.2019.04.005,doi:10.18739/A2KK94B8Q,Cites,portal_search
doi:10.1016/j.dsr2.2019.04.005,doi:10.5065/D63X84PT,Cites,portal_search
doi:10.1016/j.dsr2.2019.04.005,doi:10.5065/D6M043GJ,Cites,portal_search
doi:10.1016/j.dsr2.2018.10.008,"Grebmeier, J.M., Cooper, L.W., 2017. SWL13 Benthic Macrofaunal Parameters (doi in progress)",Cites,portal_search
doi:10.1016/j.dsr2.2018.10.008,doi:10.18739/A2N29P67H,isReferencedBy,portal_search
doi:10.1016/j.dsr2.2018.10.008,doi:10.18739/A24746R53,isReferencedBy,portal_search
doi:10.1016/j.dsr2.2018.10.008,doi:10.1016/j.dsr2.2018.10.008 (cited version) or doi:10.5065/D6VM49BM (latest version),Cites,portal_search
doi:10.1016/j.dsr2.2019.01.002,doi:10.18739/A28W3827B,isReferencedBy,portal_search
doi:10.1016/j.dsr2.2019.01.002,doi:10.18739/A20000081,isReferencedBy,portal_search
doi:10.1016/j.dsr2.2019.01.002,doi:10.18739/A2HH6C58X,isReferencedBy,portal_search
doi:10.1016/j.dsr2.2019.01.002,doi:10.18739/A2ZW18S38,isReferencedBy,portal_search
doi:10.1016/j.dsr2.2018.10.007,doi:10.18739/A2736M23F,isReferencedBy,portal_search
doi:10.1016/j.dsr2.2018.10.007,doi:10.18739/A2N29P67H,isReferencedBy,portal_search
doi:10.1016/j.dsr2.2018.10.007,doi:10.18739/A2ZG6G71C,isReferencedBy,portal_search
doi:10.1016/j.dsr2.2018.06.010,doi:10.5065/D6C24TGR,Cites,portal_search
doi:10.1016/j.dsr2.2018.06.010,doi:10.5065/D6FT8J2S,Cites,portal_search
doi:10.1016/j.dsr2.2018.06.010,doi:10.5065/D6F47M5P,Cites,portal_search
doi:10.1016/j.dsr2.2018.06.010,urn:uuid:a8194ad0-edb5-47bd-8fa1-33c24ed986d7,Cites,portal_search
doi:10.1016/j.dsr2.2018.06.010,doi:10.5065/D6VD6WHK,Cites,portal_search
doi:10.1016/j.dsr2.2018.06.010,doi:10.5065/D6416V3G,Cites,portal_search
doi:10.1016/j.dsr2.2018.06.010,doi:10.5065/D6QN6544,Cites,portal_search
doi:10.1016/j.dsr2.2018.06.010,doi:10.18739/A22V25,Cites,portal_search
doi:10.5194/os-14-1423-2018,doi:10.18739/A23B5W875,isReferencedBy,portal_search
doi:10.5194/os-14-1423-2018,doi:10.5065/D6QN6544,isReferencedBy,portal_search
doi:10.5194/os-14-1423-2018,doi:10.5065/D6KW5DDD,isReferencedBy,portal_search
doi:10.5670/oceanog.2018.224,doi:10.18739/A2GH9B88P,isReferencedBy,portal_search
10.1007/s00300-017-2179-z,doi:10.5065/D60C4SVZ,Cites,portal_search
10.1007/s00300-017-2179-z,doi:10.5065/D6H70CVR,Cites,portal_search
doi:10.5670/oceanog.2015.61,doi:10.18739/A23B5W786,isReferencedBy,portal_search
doi:10.1007/978-94-017-8863-2_10,doi:10.18739/A27W6758K,isReferencedBy,portal_search
