source_id,target_id,relationType,method
10.1002/tafs.10018,10.5065/D6DF6P6C,Cites,scythe
10.1016/j.dsr2.2015.10.009,10.5065/D6DF6P6C,Cites,scythe
10.1016/j.dsr2.2015.10.008,10.5065/D6DF6P6C,Cites,scythe
10.1016/j.dsr2.2016.07.009,10.5065/D6DF6P6C,Cites,scythe
10.1016/j.dsr2.2013.09.017,10.5065/D6DF6P6C,Cites,scythe
10.1016/j.dsr2.2013.04.023,10.5065/D6DF6P6C,Cites,scythe
10.1029/2019GL084101,10.18739/A26D5PB2S,Cites,scythe
10.1007/978-3-030-35291-2_2,10.18739/A25T3FZ9D,Cites,scythe
10.5194/os-13-983-2017,10.18739/A27S9P,Cites,scythe
10.5194/essd-8-199-2016,10.5065/D61J97TT,Cites,scythe
10.5194/tc-13-845-2019,10.18739/A2V40JZ6C,Cites,scythe
10.5194/acp-19-7467-2019,10.18739/A21V2V,Cites,scythe
10.5194/acp-19-7467-2019,10.18739/A2PJ65,Cites,scythe
10.5194/acp-19-7467-2019,10.18739/A2121J,Cites,scythe
10.5194/acp-18-4715-2018,10.18739/A2121J,Cites,scythe
10.1016/j.pocean.2015.05.006,10.5065/D67M05ZX,Cites,scythe
10.5194/acp-18-4715-2018,10.18739/A24B8W,Cites,scythe
10.1002/2016JD026034,10.5065/D6PN93R6,Cites,scythe
10.5194/acp-18-4715-2018,10.18739/A2F490,Cites,scythe
10.1029/2018JF004772,10.18739/A2SK7T,Cites,scythe
10.5194/tc-12-907-2018,10.18739/A2W27K,Cites,scythe
10.3969/j.issn.0253-4193.2019.09.006,10.5065/D6RF5S30,Cites,scythe
10.1016/j.dsr2.2016.08.009,10.5065/D6FT8J1B,Cites,scythe
10.5194/essd-11-1957-2019,10.18739/A23J3912W,Cites,scythe
10.5194/acp-19-7467-2019,10.18739/A2MJ55,Cites,scythe
10.1029/2018GL077403,10.18739/A2G23B,Cites,scythe
10.1175/JTECH-D-19-0177.1,10.18739/A2GB1XG6P,Cites,scythe
10.5194/acp-18-4715-2018,10.18739/A2ZR3K,Cites,scythe
10.1016/j.dsr2.2016.08.009,10.5065/D6F47M3S,Cites,scythe
10.1088/1748-9326/aaaa9a,10.5065/D6B56GV1,Cites,scythe
10.1093/gji/ggv415,10.5065/D64F1NS6,Cites,scythe
10.5194/acp-19-7467-2019,10.18739/A2X508,Cites,scythe
10.5194/acp-18-4715-2018,10.18739/A2X508,Cites,scythe
10.5194/essd-11-1957-2019,10.18739/A2BZ61825,Cites,scythe
10.5194/essd-11-1957-2019,10.18739/A27659F8Q,Cites,scythe
10.5194/essd-11-1957-2019,10.18739/A23F4KN4K,Cites,scythe
10.5194/tc-13-2797-2019,10.18739/A2ZK55M55,Cites,scythe
10.1029/2019JD030650,10.18739/A2C824D80,Cites,scythe
10.5194/acp-18-4715-2018,10.18739/A2M17R,Cites,scythe
10.5194/acp-18-4715-2018,10.18739/A2R79T,Cites,scythe
10.1029/2019JG005242,10.18739/A25X25C75,Cites,scythe
10.1029/2019JG005170,10.18739/A2QB9V561,Cites,scythe
10.5194/acp-19-7467-2019,10.18739/A2JZ2J,Cites,scythe
10.5194/acp-19-7467-2019,10.18739/A21N7XM2W,Cites,scythe
10.1029/2019GL084101,10.18739/A2M03XX3M,Cites,scythe
10.1073/pnas.1900613116,10.18739/A2D79598P,Cites,scythe
10.5194/acp-19-7467-2019,10.18739/A28K74W5W,Cites,scythe
10.1007/978-3-030-35291-2_2,10.18739/A2F47GT18,Cites,scythe
10.5194/os-13-983-2017,10.18739/A2G95H,Cites,scythe
10.5194/essd-11-1957-2019,10.18739/A2KH0DZ5J,Cites,scythe
10.5194/acp-19-7467-2019,10.18739/A2BJ3X,Cites,scythe
10.5194/acp-18-4715-2018,10.18739/A2BJ3X,Cites,scythe
10.1002/2017JG004002,10.18739/A2PW3G,Cites,scythe
10.2174/1874252101004010115,doi:10.5065/D6TT4P1W,isReferencedBy,abstract_search_1
10.2174/1874252100903010059,doi:10.5065/D6TT4P1W,isReferencedBy,abstract_search_1
10.1016/j.foreco.2018.03.008,urn:uuid:7c3c5c36-5227-4e90-a7de-5033feb38706,isReferencedBy,abstract_search_1
10.1029/2011JD016186,urn:uuid:c33f3d35-8120-4eb1-abaf-873b21314a50,isReferencedBy,abstract_search_1
10.1016/j.chemgeo.2014.05.012,urn:uuid:c33f3d35-8120-4eb1-abaf-873b21314a50,isReferencedBy,abstract_search_1
10.3189/2013JoG12J110,urn:uuid:c33f3d35-8120-4eb1-abaf-873b21314a50,isReferencedBy,abstract_search_1
10.1029/2003GL019003,doi:10.18739/A2901ZG3N,isReferencedBy,abstract_search_1
10.1029/98JD02517,urn:uuid:b97a69fc-e002-4505-b089-b4f6d373f080,isReferencedBy,abstract_search_1
10.14430/arctic4312,doi:10.18739/A2BK16Q2C,isReferencedBy,abstract_search_1
10.1175/WCAS-D-10-05006.1,doi:10.18739/A2BK16Q2C,isReferencedBy,abstract_search_1
10.3167/nc.2013.080202,doi:10.18739/A2BK16Q2C,isReferencedBy,abstract_search_1
10.3167/sib.2014.130102,doi:10.18739/A2BK16Q2C,isReferencedBy,abstract_search_1
doi.org/10.1080/2154896X.2012.679560,doi:10.18739/A2BK16Q2C,isReferencedBy,abstract_search_1
10.1146/annurev.anthro.012809.104925,doi:10.18739/A2BK16Q2C,isReferencedBy,abstract_search_1
10.1016/j.dsr2.2013.03.015,urn:uuid:7a191645-f34c-49a8-b05a-b1755a7c64b7,isReferencedBy,abstract_search_1
10.1016/j.gca.2011.08.002,doi:10.18739/A2PD3N,isReferencedBy,abstract_search_1
10.1130/G32856.1,doi:10.18739/A2PD3N,isReferencedBy,abstract_search_1
10.5194/bg-12-4017-2015,doi:10.18739/A2XK84Q7W,isReferencedBy,abstract_search_1
10.1890/150063,doi:10.18739/A2XK84Q7W,isReferencedBy,abstract_search_1
10.1130/G37693.1,doi:10.18739/A2XK84Q7W,isReferencedBy,abstract_search_1
10.1177/0959683617702230,doi:10.18739/A2XK84Q7W,isReferencedBy,abstract_search_1
10.1016/S0304-4203(99)00109-7,doi:10.5065/D6K64G68,isReferencedBy,abstract_search_1
doi.org/10.1016/S0265-931X(97)00058-1,doi:10.5065/D6K64G69,isReferencedBy,abstract_search_1
doi.org/10.5194/bg-10-4591-2013,doi:10.18739/A25T3G079,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.gca.2014.03.005,doi:10.18739/A2222R63G,isReferencedBy,abstract_search_1
10.1111/j.1461-0248.2012.01865.x,doi:10.18739/A2FN10S5V,isReferencedBy,abstract_search_1
https://doi.org/10.1002/ecs2.1245,doi:10.18739/A2FN10S5V,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.dendro.2015.12.007,doi:10.18739/A2FN10S5V,isReferencedBy,abstract_search_1
doi:10.1016/j.dendro.2015.12.007,doi:10.18739/A2FN10S5V,isReferencedBy,abstract_search_1
doi:doi:10.1007/s10021-016-9997-7,doi:10.18739/A2FN10S5V,isReferencedBy,abstract_search_1
doi:10.1111/gcb.13619,doi:10.18739/A2FN10S5V,isReferencedBy,abstract_search_1
doi:10.1093/jxb/erw062,doi:10.18739/A2FN10S5V,isReferencedBy,abstract_search_1
doi:10.1186/s40665-016-0017-0,doi:10.18739/A2FN10S5V,isReferencedBy,abstract_search_1
doi:10.3732/ajb.1600212,doi:10.18739/A2FN10S5V,isReferencedBy,abstract_search_1
doi:10.1007/s10533-016-0184-x,doi:10.18739/A2FN10S5V,isReferencedBy,abstract_search_1
doi:DOI: 10.1002/2017GL074954,doi:10.18739/A25C5D,isReferencedBy,abstract_search_1
doi:DOI:10.5194/os-14-1-2018,doi:10.18739/A25C5D,isReferencedBy,abstract_search_1
doi:10.14430/arctic4735,doi:10.18739/A25C5D,isReferencedBy,abstract_search_1
doi:10.1002/2014GL059806,doi:10.18739/A2FJ29D30,isReferencedBy,abstract_search_1
https://doi.org/10.1175/BAMS-D-14-00145.1,doi:10.18739/A2FJ29D31,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2010JG001634,urn:uuid:621d3674-aca3-4b39-bbe4-338fa125c826,isReferencedBy,abstract_search_1
doi:10.1029/2011JG001798,urn:uuid:621d3674-aca3-4b39-bbe4-338fa125c828,isReferencedBy,abstract_search_1
doi:10.1111/gcb.12416.,urn:uuid:621d3674-aca3-4b39-bbe4-338fa125c829,isReferencedBy,abstract_search_1
doi:10.1088/1748-9326/11/4/045002,urn:uuid:621d3674-aca3-4b39-bbe4-338fa125c830,isReferencedBy,abstract_search_1
doi: 10.1111/gcb.12304,urn:uuid:621d3674-aca3-4b39-bbe4-338fa125c831,isReferencedBy,abstract_search_1
https://doi.org/10.3189/2012JoG12J078,doi:10.18739/A20306,isReferencedBy,abstract_search_1
https://doi.org/10.1111/gcb.14419,doi:10.18739/A2JQ0ST90,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1117,doi:10.18739/A29S1KK8S,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1118,doi:10.18739/A2ZG6G74T,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1119,doi:10.18739/A23775V89,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1120,doi:10.18739/A2707WP2P,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1121,doi:10.18739/A2BR8MG70,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1122,doi:10.18739/A24746R8J,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1123,doi:10.18739/A2804XK3D,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1124,doi:10.18739/A2CR5NC8Q,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1125,doi:10.18739/A2HH6C610,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1126,doi:10.18739/A2N58CM3W,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1127,doi:10.18739/A2GH9B927,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1128,doi:10.18739/A2M90235F,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1129,doi:10.18739/A2QZ22H71,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1130,doi:10.18739/A2VQ2SB0X,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1131,doi:10.18739/A20G3GZ4D,isReferencedBy,abstract_search_1
DOI: 10.5194/acp-2017-1132,doi:10.18739/A2RX93D67,isReferencedBy,abstract_search_1
DOI: 10.1111/bor.12169,doi:10.18739/A2K83B,isReferencedBy,abstract_search_1
https://doi.org/10.1130/G34760.1,doi:10.18739/A2SQ0J,isReferencedBy,abstract_search_1
10.1007/s11111-016-0259-6,doi:10.18739/A2TD9N813,isReferencedBy,abstract_search_1
https://dx.doi.org/10.1007/s11111-011-0145-1,doi:10.18739/A2TD9N814,isReferencedBy,abstract_search_1
doi: 10.1088/1748-9326/aae7ef,doi:10.18739/A2TD9N816,isReferencedBy,abstract_search_1
10.1175/JCLI-D-11-00015.1.,doi:10.18739/A2TD9N817,isReferencedBy,abstract_search_1
doi:10.1016/j.dsr2.2012.02.016,doi:10.5065/D6125QPG,isReferencedBy,abstract_search_1
https://doi.org/10.3354/meps09539,doi:10.5065/D6125QPG,isReferencedBy,abstract_search_1
https://doi.org/10.1098/rspb.2013.0554,doi:10.5065/D6125QPG,isReferencedBy,abstract_search_1
https://doi.org/10.1130/G38114.1,doi:10.18739/A2MK6585Z,isReferencedBy,abstract_search_1
https://doi.org/10.1175/JCLI-D-11-00389.1,urn:uuid:8f67e0ec-e4e0-4c1e-ad66-1b2086ec1184,isReferencedBy,abstract_search_1
DOI: 10.3354/meps111171,doi:10.5065/D6HX19QD,isReferencedBy,abstract_search_1
https://doi.org/10.1023/A:1020295321582,doi:10.5065/D6G15Z1J,isReferencedBy,abstract_search_1
