source_id,target_id,relationType
10.5194/essd-11-1957-2019,10.18739/A2R785P0G,Cites
10.5194/tc-13-911-2019,10.18739/A24Q7QP6V,Cites
10.1029/2019JG005414,10.18739/A2ZQ03,Cites
10.1016/j.epsl.2018.05.022,10.18739/A2ZQ03,Cites
10.5194/tc-13-1233-2019,10.18739/A2D08X,Cites
10.5194/tc-13-775-2019,10.18739/A2D08X,Cites
10.1029/2017JC013617,10.18739/A2D08X,Cites
10.5194/essd-11-1957-2019,10.18739/A2ZS2KC8C,Cites
10.5194/acp-19-7467-2019,10.18739/A2NN44,Cites
10.5194/acp-18-4715-2018,10.18739/A2NN44,Cites
10.5194/essd-11-1957-2019,10.18739/A2BZ6178M,Cites
10.5194/acp-18-4715-2018,10.18739/A2020V,Cites
10.1007/978-3-030-35291-2_2,10.18739/A2KP7TQ9P,Cites
10.5194/essd-11-1957-2019,10.18739/A2V11VK4J,Cites
10.1029/2019JC015569,10.18739/A22Z12P4J,Cites
10.5194/tc-14-199-2020,10.18739/A2FP03,Cites
10.5194/acp-19-7467-2019,10.18739/A22J6K,Cites
10.5194/acp-18-4715-2018,10.18739/A22J6K,Cites
10.1029/2019GL084101,10.5065/D6S180MH,Cites
10.5194/tc-13-845-2019,10.5065/D6S180MH,Cites
10.5194/essd-10-1959-2018,10.5065/D6S180MH,Cites
10.5194/cp-14-637-2018,10.18739/A2Q572,Cites
10.1029/2018MS001524,10.5065/D6Q23X81,Cites
10.5194/acp-18-4715-2018,10.18739/A27795,Cites
10.3390/rs11182163,10.5065/D6MC8X5R,Cites
10.3390/rs11141718,10.5065/D6MC8X5R,Cites
10.1016/j.dsr2.2016.08.009,10.5065/D6GT5K65,Cites
10.1002/2017JG004002,10.18739/A2NW2S,Cites
10.5194/acp-18-4715-2018,10.18739/A2G74F,Cites
10.5194/essd-11-1957-2019,10.18739/A2Q814S0S,Cites
10.1029/2019GL084101,10.5065/D6154F6J,Cites
10.5194/essd-10-1959-2018,10.5065/D6154F6J,Cites
10.5194/bg-14-4279-2017,10.5065/D6NG4NP0,Cites
10.5194/acp-19-7467-2019,10.18739/A2221V,Cites
10.5194/acp-19-7467-2019,10.18739/A2Z37J,Cites
10.1029/2017JD027377,10.18739/A2Z37J,Cites
10.5194/tc-12-1921-2018,10.5065/D6NZ85TB,Cites
10.5194/acp-19-7467-2019,10.18739/A20R48,Cites
10.1525/elementa.352,10.5065/D6930R9W,Cites
10.5194/tc-11-2363-2017,10.5065/D6JH3J7Z,Cites
10.1111/1365-2745.13169,10.18739/A2XG9F982,Cites
10.1016/j.dsr2.2016.08.009,10.5065/D65M63P5,Cites
10.5194/os-13-983-2017,10.18739/A2436Q,Cites
10.5194/essd-11-1957-2019,10.18739/A2GQ6R21H,Cites
10.5194/essd-11-1957-2019,10.18739/A2FQ9Q52R,Cites
10.5194/os-13-983-2017,10.18739/A2QS91,Cites
10.1029/2019GL084101,10.18739/A2Q88G,Cites
10.5194/tc-13-845-2019,10.18739/A2Q88G,Cites
10.5194/essd-10-1959-2018,10.18739/A2Q88G,Cites
10.5194/acp-18-4715-2018,10.18739/A2H20H,Cites
10.5194/cp-14-1625-2018,10.18739/A2G73735Q,Cites
10.1002/2017JG004002,10.18739/A25W2F,Cites
10.5194/acp-19-7467-2019,10.18739/A2WW76Z78,Cites
10.5194/acp-19-7467-2019,10.18739/A2VF6P,Cites
10.1029/2019GL084101,10.5065/D6NP22KX,Cites
10.5194/tc-13-845-2019,10.5065/D6NP22KX,Cites
10.5194/essd-10-1959-2018,10.5065/D6NP22KX,Cites
10.1029/2017JF004597,10.5065/D6NP22KX,Cites
