author,number_of_datasets_authored,jasmine_notes,collaborators
Zhangxian Ouyang,5,,
Adam Z. Csank,4,,
Alana Shaw,4,,
Alexander Huryn,4,,
Andrew Parsekian,4,,
Bodil A. Bluhm,4,,
Claudia Czimczik,4,,
Dmitry Streletskiy,4,,
Donald A. Walker,4,,
Donatella Zona,4,,
Elizabeth E Webb,4,,
Ellen Druffel,4,,
Erich Osterberg,4,,
Greg Stossmeister,4,,
Harper Simmons,4,,
Howard Zebker,4,,
Ingibjorg S. Jonsdottir,4,,
Jacqueline Grebmeier,4,,
Jane M. Wolken,4,,
Janet Intrieri,4,,
John Steinberg,4,,
John T. Andrews,4,,
Jon Holmgren,4,,
Joshua Schimel,4,,
Karen Junge,4,,
Kevin Griffin,4,,
Laurie Juranek,4,,
Lina Taneva,4,,
M. S. Bret-Harte,4,,
Mackenzie Grieman,4,,
Mark Ortmeyer,4,,
Matthew Charette,4,,
Mette Kaufman,4,,
Nikolay Shiklomanov,4,,
Paul A. Mayewski,4,,
Paul Shepson,4,,
Peter Lavrentyev,4,,
Randolph A. Reeder,4,,
Richard Collins,4,,
Rick Krishfield,4,,
Robert Jespersen,4,,
Robert S. Pickart,4,,
Ron Lindsay,4,,
Sergio A. Vargas Zesati,4,,
T.K. Raab,4,,
Timothy P. Stanton,4,,
Tingjun Zhang,4,,
Uma Bhatt,4,,
Alexander Kholodov,3,,
Allen Pope,3,,
Allison Graves Gaylord,3,,
Amanda B. Young,3,,
Andrew Juhl,3,,
Andrew Kliskey,3,,
Angela Younie,3,,
Anna K. Liljedahl,3,,
Anne Jennings,3,,
Ben Pelto,3,,
Carey Friedman,3,,
Cathleen Geiger,3,,
Chadwick V. Jay,3,,
Christopher Gerbi,3,,
Clare H. Robinson,3,,
Daniel White,3,,
David C. Noone,3,,
David Holland,3,,
David Lipson,3,,
Diane K. Stoecker,3,,
Dominic Winski,3,,
Edda Mutter,3,,
Edwin Eloranta,3,,
Eugenie Euskirchen,3,,
F. III Stuart (Terry) Chapin,3,,
Feng Sheng Hu,3,,
Fiammetta Straneo,3,,
Frederick E. Nelson,3,,
G. Carleton Ray,3,,
Gary Clow,3,,
George Kling,3,,
Giacomo DiTullio,3,,
Glen E. Liston,3,,
Gordon Hamilton,3,,
Ivonne Ortiz,3,,
Jacqueline Richter-Menge,3,,
James Maslanik,3,,
Jeffrey M. Napp,3,,
Jennie McLaren,3,,
Jihong Cole-Dai,3,,
Jinlun Zhang,3,,
Joel Harper,3,,
John Cassano,3,,
John E. Hobbie,3,,
Jonathan B. Martin,3,,
Julie Brigham-Grette,3,,
Karen Beard,3,,
Karen Frey,3,,
Katherine Barnhart,3,,
Katherine Suding,3,,
Kathleen Stafford,3,,
Kathryn Catlin,3,,
Kathy J. Kuletz,3,,
Katrin Iken,3,,
Laia Andreu-Hayles,3,,
Lauren Juranek,3,,
Leonel Sternberg,3,,
M. Lupascu,3,,
Mark C. Serreze,3,,
Martin Miles,3,,
Matthew Berman,3,,
Motoyo Itoh,3,,
Nathan Chellman,3,,
Nicholas Wright,3,,
Paul Bierman,3,,
Peter Lane,3,,
Quentin Coopman,3,,
Randy Fulweber,3,,
Rebecca Hewitt,3,,
Rodrigo Correa Rangel,3,"Recent submitter, responsive",
Ronald Kwok,3,,
Rose Cory,3,,
Rune Storvold,3,,
Russ Hopcroft,3,,
Scott Pegau,3,,
Sean Arms,3,,
Sean Cahoon,3,,
Seth Beaudreault,3,,
Sharon L. Smith,3,,
Steven Oberbauer,3,,related people
Sveta Yamin-Pasternak,3,,
Thomas A. Douglas,3,,
Thomas C. Grenfell,3,,
Thomas Weingartner,3,,
Timothy Stanton,3,,
Toby Meierbachtol,3,,
Todd Sowers,3,,
Wendy R. Eisner,3,,
William D'Andrea,3,,
William Gould,3,,
Zicheng Yu,3,,
Albert Plueddemann,2,,
Alexander D. Huryn,2,,
Alexander Shiklomanov,2,,
Andrew Black,2,,
Andrew Jacobson,2,,
Andrey A. Grachev,2,,
Astrid E. J. Ogilvie,2,,
Audrey Yau,2,,
Baoshan Chen,2,,
Ben Holt,2,,
Ben W. Abbott,2,,
Benjamin Crosby,2,,
Beth Caissie,2,,
Bethany Neilson,2,,
Brendan Reilly,2,,
Burke Hales,2,,
Caitlin Livsey,2,,
Charles H. Racine,2,,
Charles Parr,2,,
Chris Bretherton,2,,
Christian Mattmann,2,,
Christina Bonsell,2,,
Claire Simpson,2,,
Clayton Paulson,2,,
Clement Miege,2,,
Clément Miège,2,,
Corinne Munger,2,,
Courtney Carothers,2,,
Craig Tweedie,2,,
David Fortin,2,,
Deborah Crooks,2,,
Dennis A. Darby,2,,
Dennis O'Rourke,2,,
Dmitry Nicolsky,2,,
Don Perovich,2,,
Don Stott,2,,
Dorothy L. Fibiger,2,,
Douglas Kane,2,,
Douglas L. Kane,2,,
Ed Eloranta,2,,
Edward Durbin,2,,
Edward Rastetter,2,,
Ellyn Enderlin,2,,
Emily Shroyer,2,,
Eric C. Apel,2,,
Eric Klein,2,,
Eric Skyllingstad,2,,
Erik Schiefer,2,,
Evan Lyons,2,,
Fiamma Straneo,2,,
Frank (Ted) Goebel,2,,
Fredrick Prahl,2,,
G. W. Kent Moore,2,,
Gerald Bigelow,2,,
Gert Van Dijken,2,,
Gordon Oswald,2,,
Gregory Starr,2,,
Grizelle Gonzalez,2,,
Gunnar Spreen,2,,
Hannah Marshburn,2,,
Heather Kropp,2,,
Heidi Golden,2,,
Hella Ahrends,2,,
Howard Conway,2,,
Ina Timling,2,,
James McManus,2,,
James T. Randerson,2,,
Jamie D. Gleason,2,,
Janet Duffy-Anderson,2,,
Jeffrey Severinghaus,2,,
Jeffrey Welker,2,,
Jennifer Francis,2,,
Jennifer Hutchings,2,,
Jessica Schedlbauer,2,,
John Andrews,2,,
"John C. ""Craig"" George",2,,
Jonathan E. Nichols,2,,
Joseph Shaw,2,,
Judith A. Curry,2,,
Julie Raymond-Yakoubian,2,,
Julienne Stroeve,2,,
K. Miller,2,,
Kaitlin Keegan,2,,
Karen E. Frey,2,,
Kate Buckeridge,2,,
Katharine Kelsey,2,,
Kathleen M. Stafford,2,,
Kei Saito,2,,
Kelly Benoit-Bird,2,,
Kenichi Matsuoka,2,,
Kenneth Mankoff,2,,
Kevin Anchukaitis,2,,
Kristina Øie Kvile,2,,
Kyle Arndt,2,,
Laurie Padman,2,,
Leung Tsang,2,,
Lilian Alessa,2,,
Linda Deegan,2,,
Lindsay G. Carlson,2,,
Lloyd Keigwin,2,,
Louis Codispoti,2,,
Louisa Kramer,2,,
Matt Nolan,2,,
Melinda Nicewonger,2,,
Melissa L. Chipman,2,,
Meredith Kelly,2,,
Nancy Friday,2,,
Natalia Shakhova,2,,
Nathan M. Jones,2,,
Nathan Thorp,2,,
Nicolas Young,2,,
Olivia Miller,2,,
Orjan Totland,2,,
Philippe Amstislavski,2,,
Phillip A. Zavadil,2,,
Rainer Amon,2,,
Robert Wagner,2,,
Roger Bales,2,,
Ronald Daanen,2,,
Rosana Paredes,2,,
Russell Hopcroft,2,,
Scott J. Goetz,2,,
Sean M. Schaeffer,2,,
Sean Schaeffer,2,,
Shad ONeel,2,,
Shaun A. Marcott,2,,
Shinto Nishino,2,,
Shiway Wang,2,,
Stephen G. Warren,2,,
Stephen R. Okkonen,2,,
Steven F Oberbauer,2,,
Steven Manganini,2,,
Sue Moore,2,,
Susan Crate,2,,
Svetlana Stuefer,2,,
Takashi Kikuchi,2,,
Thomas E. Osterkamp,2,,
Till Baumann,2,,
Tobias Schwoerer,2,,
Tracy DeLiberty,2,,
Vanessa Lougheed,2,,
Vasilii Petrenko,2,,
Vernon Byrd,2,,
Victoria Gofman,2,,
Von Walden,2,,
William F. Manley,2,,
Xiahong Feng,2,,
Xiaofeng Liu,2,,
Xuanji Wang,2,,
Yanling Yu,2,,
Zheng Liu,2,,
Aariel Rocha,1,,
Abigail Smith,1,,
Adam Csank,1,,
Adam Naito,1,,
Adam T. Naito,1,,
Adina Paytan,1,,
Adrian E. Gall,1,,
Adrian Luckman,1,,
Agata Buchwal,1,,
Alan C. Haynie,1,,
Alan Fried,1,,
Alan Wanamaker,1,,
Alden Adolph,1,,
Alex B. Guenther,1,,
Alex DeRobertis,1,,
Alexander (Sasha) Kitaysky,1,,
Alexander L. Nereson,1,,
Alexandra Jahn,1,,
Alexandra Lai,1,,
Alexei I. Pinchuk,1,,
Alexi Pinchuk,1,,
Alice Heller Nelson,1,,
Alisa Vershinina,1,,
Alix Johnson,1,,
Aliza Segal,1,,
Allen S. Hope,1,,
Allison Gaylord,1,,
Allison Woodward,1,,
Amanda Koltz,1,,
Ana Aguilar-Islas,1,,
Andre Punt,1,,
Andrea Pain,1,,
Andrew Balser,1,,
Andrew G. Slater,1,,
Andrew Trites,1,,
Andy Weinheimer,1,,
Ann Fienup-Riordan,1,,
Ann M. A. Harding,1,,
Anna Prentiss,1,,
Anna Szymanski,1,,
Anna-Maria Virkkala,1,,
Anne E. Jennings,1,,
Anthony W. England,1,,
Antoinette Galvin,1,,
Aradhna Tripati,1,,
Arley Muth,1,,
Arno Hammann,1,,
Ashley Ballantyne,1,,
Astrid Ogilvie,1,,
Axel Schweiger,1,,
B.A. Schubert,1,,
Barbara Bodenhorn,1,,
Beata Csatho,1,,
Beaufort Lagoon Ecosystems LTER,1,,
Becky Alexander,1,,
Behzad Mortazavi,1,,
Ben Abbott,1,,
Ben Kopec,1,,
Benjamin Hills,1,,
Benjamin Smith,1,,
Bennet H. Leon,1,,
Blanca Rodriguez,1,,
Brad Orr,1,,
Breanyn MacInnes,1,,
Brenda L Norcross,1,,
Brendan Kelly,1,,
Brett Sandercock,1,,
Brian A. Haley,1,,
Brian Amiro,1,,
Brian Yellen,1,,
Brice Loose,1,,
Brittany Berdy,1,,
Brook Nunn,1,,
Bruce Elder,1,,
Bruce J. Peterson,1,,
Bruce P. Finney,1,,
Bruce Peterson,1,,
Bryan Riel,1,,
C. Bochicchio,1,,
Caleb Schiff,1,,
Cameron McMillan,1,,
Cara Magnabosco,1,,
Carleen Reijmer,1,,
Carlos D. Szembek,1,,
Caroline Bentley Alden,1,,
Caroline Brown,1,,
Carrie Morrill,1,,
Catherine P. Chambers,1,,
Charles Rodda,1,,
Charles Stearns,1,,
Charles Umbanhowar Jr,1,,
Charles Zender,1,,
Charlie Zender,1,,
Chelsea Stephens,1,,
Chris Jones,1,,
Chris Mattmann,1,,
Christian Kienholz,1,,
Christina Carr,1,,
Christina Schadel,1,,
Christopher A Cantrell,1,,
Christopher Cox,1,,
Christopher Hiemstra,1,,
Christopher J Lortie,1,,
Christopher Little,1,,
Christopher W. Fairall,1,,
Claire Addis,1,,
Claire Pettersen,1,,
Claire Treat,1,,
Claudia Boot,1,,
Claudia M. Boot,1,,
Colin Thackray,1,,
Corinne Vonlanthen,1,,
